collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,original.genus_reso,original.genus_name,collection.reference_no,10_my_bin
13335,ETE,"M. Carrano",,Hypsilophodon,,Thescelosaurus,50241,"Cretaceous 1"
13335,ETE,"M. Carrano","n. gen.",Bihariosaurus,"n. gen.",Bihariosaurus,50241,"Cretaceous 1"
13339,PaleoDB,"M. Carrano",,Styracosaurus,,Monoclonius,5980,"Cretaceous 7"
13340,PaleoDB,"M. Carrano",,Centrosaurus,,Monoclonius,5980,"Cretaceous 7"
13341,ETE,"M. Carrano",,Allosaurus,,,7811,
13341,ETE,"M. Carrano",,Apatosaurus,,Atlantosaurus,7811,
13341,ETE,"M. Carrano","n. gen.",Apatosaurus,,,7811,
13341,ETE,"M. Carrano",,Apatosaurus,,Apatosaurus,7811,
13342,PaleoDB,"M. Carrano",,Hispanosauropus,,,5982,"Jurassic 5"
13342,PaleoDB,"M. Carrano","n. gen.",Gigantosauropus,"n. gen.",Gigantosauropus,5982,"Jurassic 5"
13343,PaleoDB,"M. Carrano","n. gen.",Hispanosauropus,,,5982,"Jurassic 5"
13347,PaleoDB,"M. Carrano",?,Macroolithus,,Dinosauria,5987,
13349,PaleoDB,"M. Carrano",,Macroolithus,,Dinosauria,14364,
13350,PaleoDB,"M. Carrano",,Spheroolithus,,Dinosauria,5987,
13352,PaleoDB,"M. Carrano",,Camarasaurus,,Morosaurus,10490,
13352,PaleoDB,"M. Carrano",,Stegosaurus,,,10490,
13352,PaleoDB,"M. Carrano",,Apatosaurus,,Brontosaurus,10490,
13352,PaleoDB,"M. Carrano",,Diplodocus,,,10490,
13409,ETE,"M. Carrano",,Dilophosaurus,,Megalosaurus,13844,
13410,ETE,"M. Carrano",,Dilophosaurus,,Megalosaurus,13844,
13411,PaleoDB,"M. Carrano","""",Maleevus,"""",Syrmosaurus,6048,
13411,PaleoDB,"M. Carrano","n. gen.",Graciliceratops,,Microceratops,6048,
13776,PaleoDB,"M. Carrano","n. gen.",Gobipteryx,,,9899,"Cretaceous 7"
13776,PaleoDB,"M. Carrano","n. gen.",Hulsanpes,,Theropoda,9899,"Cretaceous 7"
13776,PaleoDB,"M. Carrano","n. gen.",Tylocephale,,Pachycephalosauridae,9899,"Cretaceous 7"
13776,PaleoDB,"M. Carrano","n. gen.",Saichania,,Ankylosauridae,9899,"Cretaceous 7"
13776,PaleoDB,"M. Carrano","n. gen.",Lamaceratops,,Protoceratops,9899,"Cretaceous 7"
13776,PaleoDB,"M. Carrano",?,Bagaceratops,?,Protoceratops,9899,"Cretaceous 7"
13777,PaleoDB,"M. Carrano","n. gen.",Bagaceratops,,Protoceratops,6048,"Cretaceous 7"
13777,PaleoDB,"M. Carrano",,Oviraptor,,Theropoda,6048,"Cretaceous 7"
13777,PaleoDB,"M. Carrano",,Faveoloolithus,,Dinosauria,6048,"Cretaceous 7"
13937,PaleoDB,"W. Clyde","n. gen.",Liaoxiornis,,,6171,"Cretaceous 2"
13937,PaleoDB,"W. Clyde",,Sinosauropteryx,,,6171,"Cretaceous 2"
13937,PaleoDB,"W. Clyde",,Hongshanornis,,,6171,"Cretaceous 2"
13937,PaleoDB,"W. Clyde","n. gen.",Dalingheornis,,,6171,"Cretaceous 2"
13937,PaleoDB,"W. Clyde","n. gen.",Longicrusavis,,,6171,"Cretaceous 2"
13937,PaleoDB,"W. Clyde","n. gen.",Tianyuraptor,,,6171,"Cretaceous 2"
13937,PaleoDB,"W. Clyde","n. gen.",Scansoriopteryx,,,6171,"Cretaceous 2"
13937,PaleoDB,"W. Clyde","n. gen.",Lingyuanornis,,,6171,"Cretaceous 2"
14374,Fossilworks,"J. Alroy",,Tenontosaurus,,,1219,
14374,Fossilworks,"J. Alroy",,Deinonychus,,,1219,
14375,Fossilworks,"J. Alroy",?,Tenontosaurus,,,3184,"Cretaceous 4"
14379,Fossilworks,"J. Alroy",,Deinonychus,,,2023,
14388,Fossilworks,"J. Alroy",?,Tenontosaurus,"""",Camptosauridae,19641,"Cretaceous 4"
14392,Fossilworks,"J. Alroy",cf.,Deinonychus,,,1212,
14392,Fossilworks,"J. Alroy",,Tenontosaurus,,,1212,
14392,Fossilworks,"J. Alroy",,Deinonychus,,,1212,
14392,Fossilworks,"J. Alroy",,Acrocanthosaurus,,Acrocanthosaurus,1212,
14402,Fossilworks,"J. Alroy",,Eolambia,,,1223,"Cretaceous 5"
14421,Fossilworks,"J. Alroy",?,Aublysodon,,,1414,"Cretaceous 7"
14433,Fossilworks,"J. Alroy",,Paronychodon,,Paronychodon,2237,"Cretaceous 7"
14434,Fossilworks,"J. Alroy",,Saurornitholestes,,,1098,"Cretaceous 7"
14434,Fossilworks,"J. Alroy",,Dromaeosaurus,,,1098,"Cretaceous 7"
14434,Fossilworks,"J. Alroy",,Richardoestesia,,,1098,"Cretaceous 7"
14437,Fossilworks,"J. Alroy",,Centrosaurus,,,25474,"Cretaceous 7"
14437,Fossilworks,"J. Alroy",,Saurornitholestes,,,25474,"Cretaceous 7"
14437,Fossilworks,"J. Alroy",,Euoplocephalus,,,25474,"Cretaceous 7"
14437,Fossilworks,"J. Alroy",,Dromaeosaurus,,,25474,"Cretaceous 7"
14437,Fossilworks,"J. Alroy",,Stegoceras,,,25474,"Cretaceous 7"
14437,Fossilworks,"J. Alroy",,Parasaurolophus,,,25474,"Cretaceous 7"
14437,Fossilworks,"J. Alroy",,Corythosaurus,,,25474,"Cretaceous 7"
14437,Fossilworks,"J. Alroy",,Chirostenotes,,,25474,"Cretaceous 7"
14437,Fossilworks,"J. Alroy",,Chirostenotes,,,25474,"Cretaceous 7"
14437,Fossilworks,"J. Alroy","n. gen.",Avaceratops,,Ceratopsidae,25474,"Cretaceous 7"
14437,Fossilworks,"J. Alroy",,Richardoestesia,,,25474,"Cretaceous 7"
14437,Fossilworks,"J. Alroy",,Troodon,,,25474,"Cretaceous 7"
14446,Fossilworks,"J. Alroy",,Edmontonia,,,3008,"Cretaceous 7"
14446,Fossilworks,"J. Alroy",?,Stegoceras,?,Stegoceras,3008,"Cretaceous 7"
14446,Fossilworks,"J. Alroy",,Trachodon,,Procheneosaurus,3008,"Cretaceous 7"
14446,Fossilworks,"J. Alroy",,Paronychodon,,Paronychodon,3008,"Cretaceous 7"
14446,Fossilworks,"J. Alroy",,Troodon,,,3008,"Cretaceous 7"
14446,Fossilworks,"J. Alroy",,Orodromeus,,Thescelosaurus,3008,"Cretaceous 7"
14453,Fossilworks,"J. Alroy",,Prismatoolithus,,,2601,"Cretaceous 7"
14453,Fossilworks,"J. Alroy",,Troodon,,,2601,"Cretaceous 7"
14453,Fossilworks,"J. Alroy",,Troodon,,,2601,"Cretaceous 7"
14453,Fossilworks,"J. Alroy","n. gen.",Orodromeus,,,2601,"Cretaceous 7"
14455,Fossilworks,"J. Alroy",,Dryptosaurus,,Dryptosaurus,1691,"Cretaceous 7"
14455,Fossilworks,"J. Alroy",,Coelosaurus,,,1691,"Cretaceous 7"
14455,Fossilworks,"J. Alroy",,Hypsibema,,Hypsibema,1691,"Cretaceous 7"
14455,Fossilworks,"J. Alroy",,Hadrosaurus,,,1691,"Cretaceous 7"
14457,Fossilworks,"J. Alroy",,Richardoestesia,,,1098,"Cretaceous 7"
14457,Fossilworks,"J. Alroy",,Troodon,,,1098,"Cretaceous 7"
14457,Fossilworks,"J. Alroy",,Saurornitholestes,,,1098,"Cretaceous 7"
14458,Fossilworks,"J. Alroy",,Paronychodon,,Paronychodon,2237,"Cretaceous 7"
14458,Fossilworks,"J. Alroy",,Richardoestesia,,,2237,"Cretaceous 7"
14458,Fossilworks,"J. Alroy",,Saurornitholestes,,,2237,"Cretaceous 7"
14458,Fossilworks,"J. Alroy",,Daspletosaurus,,,2237,"Cretaceous 7"
14462,Fossilworks,"J. Alroy",,Richardoestesia,,Richardoestesia,1487,"Cretaceous 7"
14462,Fossilworks,"J. Alroy",,Troodon,,Troodon,1487,"Cretaceous 7"
14462,Fossilworks,"J. Alroy",,Saurornitholestes,,Saurornitholestes,1487,"Cretaceous 7"
14462,Fossilworks,"J. Alroy",,Dromaeosaurus,,Dromaeosaurus,1487,"Cretaceous 7"
14463,Fossilworks,"J. Alroy",,Richardoestesia,,,1517,"Cretaceous 7"
14463,Fossilworks,"J. Alroy",,Hesperonychus,,,1517,"Cretaceous 7"
